ticker,company,sector,industry_code,exchange,state,ipo_date,fiscal_year_end,employees,sales,cogs,sga,r_and_d,ebitda,ebit,interest_expense,net_income,dividends,capex,cfo,total_assets,total_liabilities,total_debt,cash,book_equity,shares_out,price,mktcap,ret_2025,vol,beta_2025
HYLN,Hyliion Holdings Corp,Industrials,201040,NYSE American,TX,,2025-12-31,0.113,3.475,3.305,59.268,42.467,-59.098,-65.054,0.0,-57.188,0.0,23.74,-46.549,203.559,11.55,4.372,92.365,192.009,177.269,1.84,326.175,-0.295,0.925,1.644
ARTNA,Artesian Resources  -Cl A,Utilities,551040,NASDAQ,DE,,2025-12-31,0.274,112.941,63.522,,,49.419,35.613,8.686,22.822,12.677,58.845,40.346,851.229,601.307,182.646,0.052,249.922,10.316,31.61,326.089,0.0383,0.222,-0.102
NEWT,Newtekone Inc,Financials,402010,NASDAQ,FL,,2025-12-31,0.572,383.329,245.869,,,137.46,136.792,56.636,60.512,20.488,0.106,-579.241,2744.819,2347.249,822.762,327.12,349.389,28.658,11.35,325.268,-0.0488,0.356,1.1334
NFE,New Fortress Energy Inc,Energy,101020,NASDAQ,NY,2019-01-31,2025-12-31,1.295,1504.037,2293.177,,,-789.14,-1031.486,1117.41,-1843.606,1.304,650.811,-583.382,10555.623,10245.992,8574.657,397.942,182.647,284.553,1.14,324.39,-0.9246,1.515,2.1165
VOXR,Vox Royalty Corp,Materials,151040,NASDAQ,CO,,2025-12-31,0.007,16.622,7.552,,,9.07,2.346,0.844,5.886,2.974,17.742,10.737,123.396,16.35,6.7,8.085,107.046,68.365,4.74,324.05,1.0522,0.506,0.3689
TRON,Tron Inc,Consumer Discretionary,252020,NASDAQ,FL,,2025-12-31,,4.741,3.543,3.38,,-2.182,-2.517,0.03,-16.811,0.0,0.069,-1.443,211.433,1.117,0.684,10.455,210.316,261.315,1.24,324.031,0.9714,5.672,2.8775
OOMA,Ooma Inc,Information Technology,451030,NYSE,CA,2015-07-17,2026-01-31,1.42,273.602,98.885,155.987,50.259,18.73,7.729,,6.459,0.0,5.592,27.69,227.537,134.621,73.159,20.144,92.916,27.442,11.75,322.444,-0.1657,0.374,0.7356
BCML,Baycom Corp,Financials,401010,NASDAQ,CA,,2025-12-31,0.327,141.475,45.003,48.814,,47.658,44.667,,23.931,9.859,1.746,31.831,2593.677,2255.123,22.385,206.514,338.554,10.888,29.4,320.107,0.1304,0.298,0.7115
SOPH,Sophia Genetics Sa,Health Care,351030,NASDAQ,,2021-07-23,2025-12-31,0.415,77.271,19.928,118.634,35.193,-61.291,-70.82,4.554,-78.999,0.0,0.574,-35.893,163.031,115.886,63.02,70.289,47.145,68.486,4.67,319.83,0.5212,0.834,1.2367
ACIU,Ac Immune Sa,Health Care,352010,NASDAQ,,2016-09-23,2025-12-31,0.122,4.506,88.314,,71.174,-83.808,-86.965,0.241,-88.844,0.0,1.135,-87.35,194.534,137.929,5.727,115.285,56.605,101.742,3.14,319.47,0.163,0.754,0.8797
